run.number,step,p.transition,conform.fixation,sample.size,population,mean.p.conform,mean.conform,mean.action,conformist.mortality,contrarian.mortality,environment
5,255,0.03,TRUE,5,1000,0.928357298,0.978,0.048,0.049180328,0.166666667,0
1,247,0.01,TRUE,5,1000,0.967936364,0.992,0.975,0.049345418,0.142857143,1
2,228,0.01,TRUE,50,1000,0.943097725,0.821,0.752,0.199029126,0.045454545,0
3,237,0.02,TRUE,5,1000,0.904792853,0.954,0.063,0.049317943,0.191489362,0
8,243,0.04,TRUE,50,1000,0.94018536,0.924,0.903,0.049288061,0.195402299,1
6,228,0.03,TRUE,50,1000,0.87936041,0.673,0.379,0.198529412,0.046875,1
4,246,0.02,TRUE,50,1000,0.97201739,0.987,0.968,0.049544995,0.181818182,1
7,244,0.04,TRUE,5,1000,0.944619619,0.974,0.947,0.049535604,0.193548387,1
5,256,0.03,TRUE,5,1000,0.928230387,0.979,0.041,0.049079755,0.181818182,0
1,248,0.01,TRUE,5,1000,0.96820959,0.99,0.971,0.049395161,0.125,1
8,244,0.04,TRUE,50,1000,0.939297214,0.938,0.91,0.04978355,0.197368421,1
3,238,0.02,TRUE,5,1000,0.904387522,0.96,0.068,0.049266247,0.195652174,0
2,229,0.01,TRUE,50,1000,0.941669299,0.817,0.759,0.199756395,0.044692737,0
4,247,0.02,TRUE,50,1000,0.971553254,0.986,0.972,0.04964539,0.153846154,1
6,229,0.03,TRUE,50,1000,0.877398627,0.67,0.396,0.200594354,0.042813456,1
7,245,0.04,TRUE,5,1000,0.944254835,0.975,0.951,0.049281314,0.192307692,1
5,257,0.03,TRUE,5,1000,0.927740775,0.981,0.046,0.049029622,0.19047619,0
1,249,0.01,TRUE,5,1000,0.967956599,0.986,0.961,0.049494949,0.2,1
8,245,0.04,TRUE,50,1000,0.939122697,0.946,0.92,0.049040512,0.193548387,1
7,246,0.04,TRUE,5,1000,0.944220773,0.977,0.947,0.05025641,0.16,1
3,239,0.02,TRUE,5,1000,0.90495624,0.962,0.06,0.048958333,0.2,0
5,258,0.03,TRUE,5,1000,0.928070291,0.982,0.043,0.049949032,0.157894737,0
6,230,0.03,TRUE,50,1000,0.876502871,0.672,0.401,0.198507463,0.045454545,1
4,248,0.02,TRUE,50,1000,0.971602334,0.988,0.965,0.04969574,0.142857143,1
2,230,0.01,TRUE,50,1000,0.941677784,0.807,0.746,0.199510404,0.049180328,0
1,250,0.01,TRUE,5,1000,0.967978698,0.986,0.963,0.04969574,0.142857143,1
8,246,0.04,TRUE,50,1000,0.940093792,0.955,0.929,0.049682875,0.185185185,1
5,259,0.03,TRUE,5,1000,0.928284433,0.979,0.042,0.049898167,0.166666667,0
3,240,0.02,TRUE,5,1000,0.90448542,0.964,0.057,0.04989605,0.184210526,0
4,249,0.02,TRUE,50,1000,0.971623679,0.988,0.962,0.049595142,0.166666667,1
7,247,0.04,TRUE,5,1000,0.943481286,0.978,0.946,0.04912999,0.173913043,1
6,231,0.03,TRUE,50,1000,0.873558026,0.676,0.393,0.191964286,0.06097561,1
2,231,0.01,TRUE,50,1000,0.941317449,0.806,0.735,0.199504337,0.046632124,0
1,251,0.01,TRUE,5,1000,0.96729962,0.987,0.96,0.04969574,0.142857143,1
5,260,0.03,TRUE,5,1000,0.928754479,0.98,0.048,0.049029622,0.19047619,0
4,250,0.02,TRUE,50,1000,0.971761031,0.988,0.969,0.049595142,0.166666667,1
8,247,0.04,TRUE,50,1000,0.940665722,0.941,0.855,0.2,0.044444444,0
3,241,0.02,TRUE,5,1000,0.904193629,0.967,0.05,0.049792531,0.194444444,0
6,232,0.03,TRUE,50,1000,0.871849765,0.673,0.399,0.196745562,0.049382716,1
7,248,0.04,TRUE,5,1000,0.943662824,0.976,0.96,0.049079755,0.181818182,1
2,232,0.01,TRUE,50,1000,0.94016764,0.808,0.731,0.199751861,0.046391753,0
1,252,0.01,TRUE,5,1000,0.967175383,0.988,0.965,0.04964539,0.153846154,1
5,261,0.03,TRUE,5,1000,0.928604545,0.981,0.047,0.048979592,0.2,0
8,248,0.04,TRUE,50,1000,0.93931095,0.936,0.842,0.19978746,0.033898305,0
4,251,0.02,TRUE,50,1000,0.971809668,0.989,0.966,0.049595142,0.166666667,1
3,242,0.02,TRUE,5,1000,0.905184623,0.97,0.052,0.049638056,0.212121212,0
6,233,0.03,TRUE,50,1000,0.867151611,0.673,0.395,0.190193165,0.06116208,1
7,249,0.04,TRUE,5,1000,0.944151083,0.979,0.953,0.049180328,0.166666667,1
1,253,0.01,TRUE,5,1000,0.966878023,0.988,0.962,0.049595142,0.166666667,1
2,233,0.01,TRUE,50,1000,0.94032453,0.812,0.736,0.199257426,0.046875,0
5,262,0.03,TRUE,5,1000,0.928297019,0.981,0.033,0.049949032,0.157894737,0
4,252,0.02,TRUE,50,1000,0.971744864,0.99,0.968,0.049544995,0.181818182,1
8,249,0.04,TRUE,50,1000,0.937390572,0.926,0.853,0.199786325,0.046875,0
3,243,0.02,TRUE,5,1000,0.905511819,0.972,0.052,0.049484536,0.2,0
7,250,0.04,TRUE,5,1000,0.943944238,0.981,0.959,0.049029622,0.19047619,1
6,234,0.03,TRUE,50,1000,0.866886403,0.67,0.401,0.197622585,0.04587156,1
1,254,0.01,TRUE,5,1000,0.967255106,0.987,0.964,0.049595142,0.166666667,1
2,234,0.01,TRUE,50,1000,0.939149278,0.814,0.729,0.199507389,0.04787234,0
5,263,0.03,TRUE,5,1000,0.928631879,0.98,0.039,0.049949032,0.210526316,0
3,244,0.02,TRUE,5,1000,0.905634001,0.975,0.049,0.049382716,0.178571429,0
7,251,0.04,TRUE,5,1000,0.943719169,0.984,0.955,0.049949032,0.210526316,1
4,253,0.02,TRUE,50,1000,0.971817489,0.991,0.964,0.049494949,0.2,1
1,255,0.01,TRUE,5,1000,0.967906111,0.987,0.968,0.04964539,0.153846154,1
8,250,0.04,TRUE,50,1000,0.936356783,0.919,0.831,0.199784017,0.040540541,0
2,235,0.01,TRUE,50,1000,0.938407367,0.817,0.734,0.199017199,0.048387097,0
3,245,0.02,TRUE,5,1000,0.904922774,0.972,0.047,0.049230769,0.2,0
6,235,0.03,TRUE,50,1000,0.864779197,0.663,0.39,0.2,0.048484848,1
7,252,0.04,TRUE,5,1000,0.943934558,0.983,0.966,0.049796748,0.1875,1
5,264,0.03,TRUE,5,1000,0.928602141,0.98,0.042,0.05,0.2,0
1,256,0.01,TRUE,5,1000,0.967516359,0.989,0.962,0.04964539,0.230769231,1
4,254,0.02,TRUE,50,1000,0.971913332,0.99,0.967,0.049445005,0.111111111,1
2,236,0.01,TRUE,50,1000,0.937558764,0.814,0.731,0.199510404,0.049180328,0
6,236,0.03,TRUE,50,1000,0.863710542,0.657,0.401,0.202111614,0.041543027,1
7,253,0.04,TRUE,5,1000,0.943862822,0.984,0.962,0.049847406,0.176470588,1
8,251,0.04,TRUE,50,1000,0.936942693,0.908,0.828,0.199129489,0.049382716,0
3,246,0.02,TRUE,5,1000,0.905013439,0.974,0.052,0.049382716,0.178571429,0
1,257,0.01,TRUE,5,1000,0.96739751,0.99,0.958,0.049544995,0.181818182,1
5,265,0.03,TRUE,5,1000,0.928380626,0.98,0.041,0.05,0.2,0
4,255,0.02,TRUE,50,1000,0.971709328,0.989,0.968,0.049494949,0.2,1
2,237,0.01,TRUE,50,1000,0.937408447,0.814,0.729,0.199017199,0.048387097,0
7,254,0.04,TRUE,5,1000,0.943276479,0.985,0.963,0.049796748,0.1875,1
6,237,0.03,TRUE,50,1000,0.86518482,0.655,0.408,0.193302892,0.058309038,1
8,252,0.04,TRUE,50,1000,0.935871586,0.903,0.814,0.199339207,0.043478261,0
3,247,0.02,TRUE,5,1000,0.904925888,0.975,0.049,0.050308008,0.153846154,0
1,258,0.01,TRUE,5,1000,0.967666253,0.989,0.969,0.049494949,0.2,1
5,266,0.03,TRUE,5,1000,0.928337534,0.98,0.043,0.05,0.15,0
4,256,0.02,TRUE,50,1000,0.97183422,0.99,0.966,0.049544995,0.181818182,1
2,238,0.01,TRUE,50,1000,0.936314191,0.812,0.731,0.199017199,0.048387097,0
8,253,0.04,TRUE,50,1000,0.934940184,0.899,0.81,0.199335548,0.041237113,0
7,255,0.04,TRUE,5,1000,0.94412191,0.983,0.958,0.049746193,0.2,1
6,238,0.03,TRUE,50,1000,0.864620954,0.655,0.406,0.195419847,0.049275362,1
3,248,0.02,TRUE,5,1000,0.905188552,0.973,0.05,0.05025641,0.16,0
5,267,0.03,TRUE,5,1000,0.929020796,0.981,0.037,0.05,0.2,0
1,259,0.01,TRUE,5,1000,0.967460371,0.988,0.963,0.049544995,0.181818182,1
4,257,0.02,TRUE,50,1000,0.972167998,0.992,0.968,0.049494949,0.2,1
8,254,0.04,TRUE,50,1000,0.934231707,0.895,0.821,0.199110122,0.04950495,0
2,239,0.01,TRUE,50,1000,0.936814904,0.805,0.742,0.199507389,0.04787234,0
7,256,0.04,TRUE,5,1000,0.944844876,0.985,0.958,0.049847406,0.176470588,1
6,239,0.03,TRUE,50,1000,0.865620887,0.661,0.422,0.186259542,0.063768116,1
5,268,0.03,TRUE,5,1000,0.928379762,0.979,0.046,0.049949032,0.157894737,0
3,249,0.02,TRUE,5,1000,0.90518764,0.972,0.055,0.049331963,0.222222222,0
1,260,0.01,TRUE,5,1000,0.967425227,0.987,0.96,0.049595142,0.166666667,1
4,258,0.02,TRUE,50,1000,0.972113222,0.991,0.964,0.049395161,0.125,1
8,255,0.04,TRUE,50,1000,0.934987054,0.891,0.812,0.2,0.047619048,0
7,257,0.04,TRUE,5,1000,0.945293924,0.985,0.97,0.049746193,0.2,1
6,240,0.03,TRUE,50,1000,0.862920698,0.655,0.428,0.192133132,0.04719764,1
2,240,0.01,TRUE,50,1000,0.934757145,0.802,0.73,0.2,0.046153846,0
5,269,0.03,TRUE,5,1000,0.927866554,0.977,0.046,0.049029622,0.19047619,0
3,250,0.02,TRUE,5,1000,0.905176494,0.97,0.048,0.049382716,0.178571429,0
